Rural,Rabat-Salé-Kénitra,Masculin,5.7,4.8,4.4,4.1,5.3,6.1,3.8,2.8,5.6,5.9,3.8
Rural,Rabat-Salé-Kénitra,Féminin,6.5,7.1,3.8,4.5,4.9,7.0,4.4,4.7,5.4,2.7,3.0
Rural,Rabat-Salé-Kénitra,Total,5.8,5.2,4.3,4.2,5.3,6.3,3.9,3.4,5.6,4.9,3.5
Rural,Béni Mellal-Khénifra,Masculin,6.9,8.2,8.8,7.2,6.4,4.7,1.8,4.3,2.1,4.2,2.5
Rural,Béni Mellal-Khénifra,Féminin,6.0,6.6,5.9,3.1,3.0,,2.1,2.0,1.7,1.2,1.7
Rural,Béni Mellal-Khénifra,Total,6.8,8.0,8.2,6.3,5.5,3.8,1.9,1.4,2.0,3.2,2.2
Rural,Casablanca-settat,Masculin,5.9,6.8,6.8,5.6,4.9,5.4,2.8,1.8,3.1,4.5,4.7
Rural,Casablanca-settat,Féminin,6.5,6.3,3.8,3.3,2.9,2.2,2.4,2.3,2.6,2.9,1.9
Rural,Casablanca-settat,Total,6.0,6.7,6.1,5.0,4.3,3.8,2.7,1.4,2.9,3.9,3.7
Rural,Marrakech-safi,Masculin,4.8,5.3,3.9,3.1,3.3,4.8,3.3,2.0,3.3,3.3,3.0
Rural,Marrakech-safi,Féminin,7.8,6.0,5.0,3.3,2.8,2.5,,3.3,2.0,1.2,1.4
Rural,Marrakech-safi,Total,5.3,5.4,4.1,3.2,3.2,3.8,2.9,1.8,3.0,2.6,2.5
Rural,Drâa-Tafilalet,Masculin,5.8,9.1,8.6,8.5,7.5,8.0,4.2,2.9,3.9,4.7,6.1
Rural,Drâa-Tafilalet,Féminin,7.2,7.0,8.6,5.3,4.1,4.6,,3.0,3.9,1.4,1.0
Rural,Drâa-Tafilalet,Total,6.2,8.5,8.6,7.6,6.4,7.0,3.8,2.4,3.9,3.3,3.9
Rural,Souss-Massa,Masculin,5.7,6.5,8.9,6.2,6.3,8.8,7.7,2.7,7.1,5.8,7.9
Rural,Souss-Massa,Féminin,11.5,12.2,13.4,8.9,4.6,3.6,3.3,7.3,2.4,2.7,2.1
Rural,Souss-Massa,Total,6.6,7.3,9.5,6.6,5.9,7.5,6.5,4.0,5.6,4.7,5.7
Rural,Régions du Sud,Masculin,,,7.7,8.1,,,,6.3,2.1,12.7,10.5
Rural,Régions du Sud,Féminin,,,33.8,,22.6,19.4,,22.6,16.5,8.5,7.9
Rural,Régions du Sud,Total,,8.3,11.0,10.3,10.5,10.0,7.1,6.7,4.5,11.2,9.5
Rural,Ensemble,Masculin,6.3,0.0,6.5,5.6,5.3,6.6,4.0,3.9,4.3,,5.1
